DriveType,Operation,BlockSize,QueueDepth,NumJobs,Bandwidth_MBps,Bandwidth_GBps,IOPS
WD_4TB,read,4k,1,6,581.968068000,.581968068,0
WD_4TB,read,4k,8,6,2385.854332000,2.385854332,0
WD_4TB,read,4k,32,6,3656.090910000,3.656090910,0
WD_4TB,read,4k,128,6,4096.325058000,4.096325058,0
WD_4TB,read,64k,1,6,5133.559660000,5.133559660,0
WD_4TB,read,64k,8,6,18100.0,18.1,0
WD_4TB,read,64k,32,6,27800.0,27.8,0
WD_4TB,read,64k,128,6,29300.0,29.3,0
WD_4TB,read,1m,1,6,20200.0,20.2,0
WD_4TB,read,1m,8,6,29500.0,29.5,0
WD_4TB,read,1m,32,6,29400.0,29.4,0
WD_4TB,read,1m,128,6,29300.0,29.3,0
WD_4TB,read,16m,1,6,28400.0,28.4,0
WD_4TB,read,16m,8,6,29300.0,29.3,0
WD_4TB,read,16m,32,6,29200.0,29.2,0
WD_4TB,read,16m,128,6,28600.0,28.6,0
WD_4TB,read,64m,1,6,29000.0,29.0,0
WD_4TB,read,64m,8,6,29100.0,29.1,0
WD_4TB,read,64m,32,6,28600.0,28.6,0
WD_4TB,read,64m,128,6,26300.0,26.3,0
WD_4TB,write,4k,1,6,760.209211000,.760209211,0
WD_4TB,write,4k,8,6,900.869390000,.900869390,0
WD_4TB,write,4k,32,6,923.417968000,.923417968,0
WD_4TB,write,4k,128,6,943.819063000,.943819063,0
WD_4TB,write,64k,1,6,7918.845952000,7.918845952,0
WD_4TB,write,64k,8,6,16700.0,16.7,0
WD_4TB,write,64k,32,6,18000.0,18.0,0
WD_4TB,write,64k,128,6,20600.0,20.6,0
WD_4TB,write,1m,1,6,18300.0,18.3,0
WD_4TB,write,1m,8,6,26100.0,26.1,0
WD_4TB,write,1m,32,6,26400.0,26.4,0
WD_4TB,write,1m,128,6,24600.0,24.6,0
WD_4TB,write,16m,1,6,24600.0,24.6,0
WD_4TB,write,16m,8,6,23900.0,23.9,0
WD_4TB,write,16m,32,6,24200.0,24.2,0
WD_4TB,write,16m,128,6,24200.0,24.2,0
WD_4TB,write,64m,1,6,23100.0,23.1,0
WD_4TB,write,64m,8,6,23200.0,23.2,0
WD_4TB,write,64m,32,6,23500.0,23.5,0
WD_4TB,write,64m,128,6,25100.0,25.1,0
Intel_Optane_32GB,read,4k,1,6,1027.570925000,1.027570925,0
Intel_Optane_32GB,read,4k,8,6,2553.358057000,2.553358057,0
Intel_Optane_32GB,read,4k,32,6,2968.896143000,2.968896143,0
Intel_Optane_32GB,read,4k,128,6,3005.403365000,3.005403365,0
Intel_Optane_32GB,read,64k,1,6,3561.601630000,3.561601630,0
Intel_Optane_32GB,read,64k,8,6,5417.027502000,5.417027502,0
Intel_Optane_32GB,read,64k,32,6,5430.986145000,5.430986145,0
Intel_Optane_32GB,read,64k,128,6,5427.764920000,5.427764920,0
Intel_Optane_32GB,read,1m,1,6,5421.322469000,5.421322469,0
Intel_Optane_32GB,read,1m,8,6,5433.133629000,5.433133629,0
Intel_Optane_32GB,read,1m,32,6,5428.838662000,5.428838662,0
Intel_Optane_32GB,read,1m,128,6,5429.912403000,5.429912403,0
Intel_Optane_32GB,read,16m,1,6,5433.133629000,5.433133629,0
Intel_Optane_32GB,read,16m,8,6,5425.617436000,5.425617436,0
Intel_Optane_32GB,read,16m,32,6,5428.838662000,5.428838662,0
Intel_Optane_32GB,read,16m,128,6,5426.691178000,5.426691178,0
Intel_Optane_32GB,read,64m,1,6,5422.396211000,5.422396211,0
Intel_Optane_32GB,read,64m,8,6,5427.764920000,5.427764920,0
