DriveType,Operation,BlockSize,QueueDepth,NumJobs,Bandwidth_MBps,Bandwidth_GBps,IOPS
WD_4TB,read,4k,1,6,581.968068,0.581968068,148983
WD_4TB,read,4k,8,6,2385.854332,2.385854332,610778
WD_4TB,read,4k,32,6,3656.09091,3.65609091,935959
WD_4TB,read,4k,128,6,4096.325058,4.096325058,1048659
WD_4TB,read,64k,1,6,5133.55966,5.13355966,82136
WD_4TB,read,64k,8,6,18100.0,18.1,289600
WD_4TB,read,64k,32,6,27800.0,27.8,444800
WD_4TB,read,64k,128,6,29300.0,29.3,468800
WD_4TB,read,1m,1,6,20200.0,20.2,20200
WD_4TB,read,1m,8,6,29500.0,29.5,29500
WD_4TB,read,1m,32,6,29400.0,29.4,29400
WD_4TB,read,1m,128,6,29300.0,29.3,29300
WD_4TB,read,16m,1,6,28400.0,28.4,1775
WD_4TB,read,16m,8,6,29300.0,29.3,1831
WD_4TB,read,16m,32,6,29200.0,29.2,1825
WD_4TB,read,16m,128,6,28600.0,28.6,1787
WD_4TB,read,64m,1,6,29000.0,29.0,453
WD_4TB,read,64m,8,6,29100.0,29.1,454
WD_4TB,read,64m,32,6,28600.0,28.6,446
WD_4TB,read,64m,128,6,26300.0,26.3,410
WD_4TB,write,4k,1,6,760.209211,0.760209211,194613
WD_4TB,write,4k,8,6,900.86939,0.90086939,230622
WD_4TB,write,4k,32,6,923.417968,0.923417968,236394
WD_4TB,write,4k,128,6,943.819063,0.943819063,241617
WD_4TB,write,64k,1,6,7918.845952,7.918845952,126701
WD_4TB,write,64k,8,6,16700.0,16.7,267200
WD_4TB,write,64k,32,6,18000.0,18.0,288000
WD_4TB,write,64k,128,6,20600.0,20.6,329600
WD_4TB,write,1m,1,6,18300.0,18.3,18300
WD_4TB,write,1m,8,6,26100.0,26.1,26100
WD_4TB,write,1m,32,6,26400.0,26.4,26400
WD_4TB,write,1m,128,6,24600.0,24.6,24600
WD_4TB,write,16m,1,6,24600.0,24.6,1537
WD_4TB,write,16m,8,6,23900.0,23.9,1493
WD_4TB,write,16m,32,6,24200.0,24.2,1512
WD_4TB,write,16m,128,6,24200.0,24.2,1512
WD_4TB,write,64m,1,6,23100.0,23.1,360
WD_4TB,write,64m,8,6,23200.0,23.2,362
WD_4TB,write,64m,32,6,23500.0,23.5,367
WD_4TB,write,64m,128,6,25100.0,25.1,392
Intel_Optane_32GB,read,4k,1,6,1027.570925,1.027570925,263058
Intel_Optane_32GB,read,4k,8,6,2553.358057,2.553358057,653659
Intel_Optane_32GB,read,4k,32,6,2968.896143,2.968896143,760037
Intel_Optane_32GB,read,4k,128,6,3005.403365,3.005403365,769383
Intel_Optane_32GB,read,64k,1,6,3561.60163,3.56160163,56985
Intel_Optane_32GB,read,64k,8,6,5417.027502,5.417027502,86672
Intel_Optane_32GB,read,64k,32,6,5430.986145,5.430986145,86895
Intel_Optane_32GB,read,64k,128,6,5427.76492,5.42776492,86844
Intel_Optane_32GB,read,1m,1,6,5421.322469,5.421322469,5421
Intel_Optane_32GB,read,1m,8,6,5433.133629,5.433133629,5433
Intel_Optane_32GB,read,1m,32,6,5428.838662,5.428838662,5428
Intel_Optane_32GB,read,1m,128,6,5429.912403,5.429912403,5429
Intel_Optane_32GB,read,16m,1,6,5433.133629,5.433133629,339
Intel_Optane_32GB,read,16m,8,6,5425.617436,5.425617436,339
Intel_Optane_32GB,read,16m,32,6,5428.838662,5.428838662,339
Intel_Optane_32GB,read,16m,128,6,5426.691178,5.426691178,339
Intel_Optane_32GB,read,64m,1,6,5422.396211,5.422396211,84
Intel_Optane_32GB,read,64m,8,6,5427.76492,5.42776492,84
Intel_Optane_32GB,read,64m,32,6,5424.543694,5.424543694,84
Intel_Optane_32GB,read,64m,128,6,5427.76492,5.42776492,84
Intel_Optane_32GB,write,4k,1,6,228.707008,0.228707008,58548
Intel_Optane_32GB,write,4k,8,6,599.147937,0.599147937,153381
Intel_Optane_32GB,write,4k,32,6,824.63372,0.82463372,211106
Intel_Optane_32GB,write,4k,128,6,856.845975,0.856845975,219352
Intel_Optane_32GB,write,64k,1,6,846.108557,0.846108557,13537
Intel_Optane_32GB,write,64k,8,6,922.344226,0.922344226,14757
Intel_Optane_32GB,write,64k,32,6,920.196743,0.920196743,14723
Intel_Optane_32GB,write,64k,128,6,913.754292,0.913754292,14620
Intel_Optane_32GB,write,1m,1,6,912.68055,0.91268055,912
Intel_Optane_32GB,write,1m,8,6,909.459324,0.909459324,909
Intel_Optane_32GB,write,1m,32,6,910.533066,0.910533066,910
Intel_Optane_32GB,write,1m,128,6,908.385583,0.908385583,908
Intel_Optane_32GB,write,16m,1,6,907.311841,0.907311841,56
Intel_Optane_32GB,write,16m,8,6,906.238099,0.906238099,56
Intel_Optane_32GB,write,16m,32,6,908.385583,0.908385583,56
Intel_Optane_32GB,write,16m,128,6,906.238099,0.906238099,56
Intel_Optane_32GB,write,64m,1,6,905.164357,0.905164357,14
Intel_Optane_32GB,write,64m,8,6,906.238099,0.906238099,14
Intel_Optane_32GB,write,64m,32,6,904.090615,0.904090615,14
Intel_Optane_32GB,write,64m,128,6,908.385583,0.908385583,14
