ArrayConfig,Operation,BlockSize,QueueDepth,NumJobs,Bandwidth_MBps,Bandwidth_GBps,IOPS,ArrayType
WD_2x2_Parallel,read,4k,1,4,699.005926000,.699005926,178956,2x2_Parallel
WD_2x2_Parallel,read,4k,8,4,3215.856762000,3.215856762,823312,2x2_Parallel
WD_2x2_Parallel,read,4k,32,4,5150.739529000,5.150739529,1318673,2x2_Parallel
WD_2x2_Parallel,read,4k,128,4,5510.443040000,5.510443040,1410763,2x2_Parallel
WD_2x2_Parallel,read,64k,1,4,5638.218317000,5.638218317,90211,2x2_Parallel
WD_2x2_Parallel,read,64k,8,4,23700.0,23.7,379200,2x2_Parallel
WD_2x2_Parallel,read,64k,32,4,28800.0,28.8,460800,2x2_Parallel
WD_2x2_Parallel,read,64k,128,4,29400.0,29.4,470400,2x2_Parallel
WD_2x2_Parallel,read,1m,1,4,25500.0,25.5,25500,2x2_Parallel
WD_2x2_Parallel,read,1m,8,4,29400.0,29.4,29400,2x2_Parallel
WD_2x2_Parallel,read,1m,32,4,29400.0,29.4,29400,2x2_Parallel
WD_2x2_Parallel,read,1m,128,4,29200.0,29.2,29200,2x2_Parallel
WD_2x2_Parallel,read,16m,1,4,28900.0,28.9,1806,2x2_Parallel
WD_2x2_Parallel,read,16m,8,4,29400.0,29.4,1837,2x2_Parallel
WD_2x2_Parallel,read,16m,32,4,29200.0,29.2,1825,2x2_Parallel
WD_2x2_Parallel,read,16m,128,4,28700.0,28.7,1793,2x2_Parallel
WD_2x2_Parallel,read,64m,1,4,29100.0,29.1,454,2x2_Parallel
WD_2x2_Parallel,read,64m,8,4,29000.0,29.0,453,2x2_Parallel
WD_2x2_Parallel,read,64m,32,4,28800.0,28.8,450,2x2_Parallel
WD_2x2_Parallel,read,64m,128,4,26700.0,26.7,417,2x2_Parallel
WD_2x2_Parallel,write,4k,1,4,1002.874862000,1.002874862,256752,2x2_Parallel
WD_2x2_Parallel,write,4k,8,4,1255.204192000,1.255204192,321352,2x2_Parallel
WD_2x2_Parallel,write,4k,32,4,1304.596315000,1.304596315,333998,2x2_Parallel
WD_2x2_Parallel,write,4k,128,4,1338.956054000,1.338956054,342794,2x2_Parallel
WD_2x2_Parallel,write,64k,1,4,11239.929413000,11.239929413,179838,2x2_Parallel
WD_2x2_Parallel,write,64k,8,4,19806.626088000,19.806626088,316906,2x2_Parallel
WD_2x2_Parallel,write,64k,32,4,21500.0,21.5,344000,2x2_Parallel
WD_2x2_Parallel,write,64k,128,4,24400.0,24.4,390400,2x2_Parallel
WD_2x2_Parallel,write,1m,1,4,20600.0,20.6,20600,2x2_Parallel
WD_2x2_Parallel,write,1m,8,4,26400.0,26.4,26400,2x2_Parallel
WD_2x2_Parallel,write,1m,32,4,25700.0,25.7,25700,2x2_Parallel
WD_2x2_Parallel,write,1m,128,4,25300.0,25.3,25300,2x2_Parallel
WD_2x2_Parallel,write,16m,1,4,24900.0,24.9,1556,2x2_Parallel
WD_2x2_Parallel,write,16m,8,4,24500.0,24.5,1531,2x2_Parallel
WD_2x2_Parallel,write,16m,32,4,24200.0,24.2,1512,2x2_Parallel
WD_2x2_Parallel,write,16m,128,4,24600.0,24.6,1537,2x2_Parallel
WD_2x2_Parallel,write,64m,1,4,24200.0,24.2,378,2x2_Parallel
WD_2x2_Parallel,write,64m,8,4,24100.0,24.1,376,2x2_Parallel
WD_2x2_Parallel,write,64m,32,4,24400.0,24.4,381,2x2_Parallel
WD_2x2_Parallel,write,64m,128,4,24900.0,24.9,389,2x2_Parallel
SKHynix_2x2_Parallel,read,4k,1,4,1165.009878000,1.165009878,298261,2x2_Parallel
SKHynix_2x2_Parallel,read,4k,8,4,3489.660927000,3.489660927,893410,2x2_Parallel
SKHynix_2x2_Parallel,read,4k,32,4,4792.109759000,4.792109759,1226858,2x2_Parallel
SKHynix_2x2_Parallel,read,4k,128,4,5033.701670000,5.033701670,1288710,2x2_Parallel
SKHynix_2x2_Parallel,read,64k,1,4,5874.441518000,5.874441518,93991,2x2_Parallel
SKHynix_2x2_Parallel,read,64k,8,4,20200.0,20.2,323200,2x2_Parallel
SKHynix_2x2_Parallel,read,64k,32,4,29300.0,29.3,468800,2x2_Parallel
SKHynix_2x2_Parallel,read,64k,128,4,29400.0,29.4,470400,2x2_Parallel
SKHynix_2x2_Parallel,read,1m,1,4,23600.0,23.6,23600,2x2_Parallel
SKHynix_2x2_Parallel,read,1m,8,4,29500.0,29.5,29500,2x2_Parallel
SKHynix_2x2_Parallel,read,1m,32,4,29500.0,29.5,29500,2x2_Parallel
SKHynix_2x2_Parallel,read,1m,128,4,29400.0,29.4,29400,2x2_Parallel
SKHynix_2x2_Parallel,read,16m,1,4,29400.0,29.4,1837,2x2_Parallel
SKHynix_2x2_Parallel,read,16m,8,4,29400.0,29.4,1837,2x2_Parallel
SKHynix_2x2_Parallel,read,16m,32,4,29300.0,29.3,1831,2x2_Parallel
SKHynix_2x2_Parallel,read,16m,128,4,28700.0,28.7,1793,2x2_Parallel
SKHynix_2x2_Parallel,read,64m,1,4,29400.0,29.4,459,2x2_Parallel
SKHynix_2x2_Parallel,read,64m,8,4,29200.0,29.2,456,2x2_Parallel
SKHynix_2x2_Parallel,read,64m,32,4,28700.0,28.7,448,2x2_Parallel
SKHynix_2x2_Parallel,read,64m,128,4,26700.0,26.7,417,2x2_Parallel
SKHynix_2x2_Parallel,write,4k,1,4,763.430435000,.763430435,195450,2x2_Parallel
SKHynix_2x2_Parallel,write,4k,8,4,1450.625203000,1.450625203,371383,2x2_Parallel
SKHynix_2x2_Parallel,write,4k,32,4,1435.592818000,1.435592818,367535,2x2_Parallel
SKHynix_2x2_Parallel,write,4k,128,4,1407.675530000,1.407675530,360388,2x2_Parallel
SKHynix_2x2_Parallel,write,64k,1,4,9466.107920000,9.466107920,151457,2x2_Parallel
SKHynix_2x2_Parallel,write,64k,8,4,20500.0,20.5,328000,2x2_Parallel
SKHynix_2x2_Parallel,write,64k,32,4,20900.0,20.9,334400,2x2_Parallel
SKHynix_2x2_Parallel,write,64k,128,4,23100.0,23.1,369600,2x2_Parallel
SKHynix_2x2_Parallel,write,1m,1,4,20800.0,20.8,20800,2x2_Parallel
SKHynix_2x2_Parallel,write,1m,8,4,26600.0,26.6,26600,2x2_Parallel
SKHynix_2x2_Parallel,write,1m,32,4,27000.0,27.0,27000,2x2_Parallel
SKHynix_2x2_Parallel,write,1m,128,4,27000.0,27.0,27000,2x2_Parallel
SKHynix_2x2_Parallel,write,16m,1,4,23800.0,23.8,1487,2x2_Parallel
SKHynix_2x2_Parallel,write,16m,8,4,24100.0,24.1,1506,2x2_Parallel
SKHynix_2x2_Parallel,write,16m,32,4,24000.0,24.0,1500,2x2_Parallel
SKHynix_2x2_Parallel,write,16m,128,4,25300.0,25.3,1581,2x2_Parallel
SKHynix_2x2_Parallel,write,64m,1,4,24300.0,24.3,379,2x2_Parallel
SKHynix_2x2_Parallel,write,64m,8,4,24000.0,24.0,375,2x2_Parallel
SKHynix_2x2_Parallel,write,64m,32,4,24900.0,24.9,389,2x2_Parallel
SKHynix_2x2_Parallel,write,64m,128,4,26300.0,26.3,410,2x2_Parallel
WD_4Drive_Single,read,4k,1,6,588.410519000,.588410519,150642,4Drive_Single
WD_4Drive_Single,read,4k,8,6,2383.706849000,2.383706849,610268,4Drive_Single
WD_4Drive_Single,read,4k,32,6,3637.837299000,3.637837299,931345,4Drive_Single
WD_4Drive_Single,read,4k,128,6,4044.785451000,4.044785451,1035531,4Drive_Single
WD_4Drive_Single,read,64k,1,6,5273.146097000,5.273146097,84370,4Drive_Single
WD_4Drive_Single,read,64k,8,6,18100.0,18.1,289600,4Drive_Single
WD_4Drive_Single,read,64k,32,6,27800.0,27.8,444800,4Drive_Single
WD_4Drive_Single,read,64k,128,6,28900.0,28.9,462400,4Drive_Single
WD_4Drive_Single,read,1m,1,6,20400.0,20.4,20400,4Drive_Single
WD_4Drive_Single,read,1m,8,6,29400.0,29.4,29400,4Drive_Single
WD_4Drive_Single,read,1m,32,6,29400.0,29.4,29400,4Drive_Single
WD_4Drive_Single,read,1m,128,6,28900.0,28.9,28900,4Drive_Single
WD_4Drive_Single,read,16m,1,6,28300.0,28.3,1768,4Drive_Single
WD_4Drive_Single,read,16m,8,6,27100.0,27.1,1693,4Drive_Single
WD_4Drive_Single,read,16m,32,6,27100.0,27.1,1693,4Drive_Single
WD_4Drive_Single,read,16m,128,6,27900.0,27.9,1743,4Drive_Single
WD_4Drive_Single,read,64m,1,6,25500.0,25.5,398,4Drive_Single
WD_4Drive_Single,read,64m,8,6,27800.0,27.8,434,4Drive_Single
WD_4Drive_Single,read,64m,32,6,26700.0,26.7,417,4Drive_Single
WD_4Drive_Single,read,64m,128,6,26400.0,26.4,412,4Drive_Single
WD_4Drive_Single,write,4k,1,6,747.324309000,.747324309,191327,4Drive_Single
WD_4Drive_Single,write,4k,8,6,893.353197000,.893353197,228713,4Drive_Single
WD_4Drive_Single,write,4k,32,6,903.016873000,.903016873,231187,4Drive_Single
WD_4Drive_Single,write,4k,128,6,924.491710000,.924491710,236685,4Drive_Single
WD_4Drive_Single,write,64k,1,6,7963.943108000,7.963943108,127423,4Drive_Single
WD_4Drive_Single,write,64k,8,6,16400.0,16.4,262400,4Drive_Single
WD_4Drive_Single,write,64k,32,6,18200.0,18.2,291200,4Drive_Single
WD_4Drive_Single,write,64k,128,6,21700.0,21.7,347200,4Drive_Single
