ArrayConfig,Operation,BlockSize,QueueDepth,NumJobs,Bandwidth_MBps,Bandwidth_GBps,IOPS,ArrayType,Filesystem
WD_2x2_Parallel,read,4k,1,4,754.840501000,.754840501,193251,2x2_Parallel,Ext4
WD_2x2_Parallel,read,4k,8,4,3233.036631000,3.233036631,827710,2x2_Parallel,Ext4
WD_2x2_Parallel,read,4k,32,4,5104.568631000,5.104568631,1306853,2x2_Parallel,Ext4
WD_2x2_Parallel,read,4k,128,4,5385.888988000,5.385888988,1378875,2x2_Parallel,Ext4
WD_2x2_Parallel,read,64k,1,4,7056.631266000,7.056631266,112906,2x2_Parallel,Ext4
WD_2x2_Parallel,read,64k,8,4,23300.0,23.3,372800,2x2_Parallel,Ext4
WD_2x2_Parallel,read,64k,32,4,28900.0,28.9,462400,2x2_Parallel,Ext4
WD_2x2_Parallel,read,64k,128,4,29100.0,29.1,465600,2x2_Parallel,Ext4
WD_2x2_Parallel,read,1m,1,4,24900.0,24.9,24900,2x2_Parallel,Ext4
WD_2x2_Parallel,read,1m,8,4,29400.0,29.4,29400,2x2_Parallel,Ext4
WD_2x2_Parallel,read,1m,32,4,29200.0,29.2,29200,2x2_Parallel,Ext4
WD_2x2_Parallel,read,1m,128,4,29400.0,29.4,29400,2x2_Parallel,Ext4
WD_2x2_Parallel,read,16m,1,4,28600.0,28.6,1787,2x2_Parallel,Ext4
WD_2x2_Parallel,read,16m,8,4,29200.0,29.2,1825,2x2_Parallel,Ext4
WD_2x2_Parallel,read,16m,32,4,29200.0,29.2,1825,2x2_Parallel,Ext4
WD_2x2_Parallel,read,16m,128,4,27900.0,27.9,1743,2x2_Parallel,Ext4
WD_2x2_Parallel,read,64m,1,4,28600.0,28.6,446,2x2_Parallel,Ext4
WD_2x2_Parallel,read,64m,8,4,28800.0,28.8,450,2x2_Parallel,Ext4
WD_2x2_Parallel,read,64m,32,4,28300.0,28.3,442,2x2_Parallel,Ext4
WD_2x2_Parallel,read,64m,128,4,26500.0,26.5,414,2x2_Parallel,Ext4
WD_2x2_Parallel,write,4k,1,4,981.400026000,.981400026,251254,2x2_Parallel,Ext4
WD_2x2_Parallel,write,4k,8,4,2124.935068000,2.124935068,544018,2x2_Parallel,Ext4
WD_2x2_Parallel,write,4k,32,4,2099.165265000,2.099165265,537420,2x2_Parallel,Ext4
WD_2x2_Parallel,write,4k,128,4,2042.256948000,2.042256948,522851,2x2_Parallel,Ext4
WD_2x2_Parallel,write,64k,1,4,11096.048008000,11.096048008,177536,2x2_Parallel,Ext4
WD_2x2_Parallel,write,64k,8,4,20400.0,20.4,326400,2x2_Parallel,Ext4
WD_2x2_Parallel,write,64k,32,4,21600.0,21.6,345600,2x2_Parallel,Ext4
WD_2x2_Parallel,write,64k,128,4,24300.0,24.3,388800,2x2_Parallel,Ext4
WD_2x2_Parallel,write,1m,1,4,20500.0,20.5,20500,2x2_Parallel,Ext4
WD_2x2_Parallel,write,1m,8,4,26100.0,26.1,26100,2x2_Parallel,Ext4
WD_2x2_Parallel,write,1m,32,4,21600.0,21.6,21600,2x2_Parallel,Ext4
WD_2x2_Parallel,write,1m,128,4,21900.0,21.9,21900,2x2_Parallel,Ext4
WD_2x2_Parallel,write,16m,1,4,21300.0,21.3,1331,2x2_Parallel,Ext4
WD_2x2_Parallel,write,16m,8,4,21800.0,21.8,1362,2x2_Parallel,Ext4
WD_2x2_Parallel,write,16m,32,4,21200.0,21.2,1325,2x2_Parallel,Ext4
WD_2x2_Parallel,write,16m,128,4,21900.0,21.9,1368,2x2_Parallel,Ext4
WD_2x2_Parallel,write,64m,1,4,18282.602036000,18.282602036,285,2x2_Parallel,Ext4
WD_2x2_Parallel,write,64m,8,4,23400.0,23.4,365,2x2_Parallel,Ext4
WD_2x2_Parallel,write,64m,32,4,24100.0,24.1,376,2x2_Parallel,Ext4
WD_2x2_Parallel,write,64m,128,4,20500.0,20.5,320,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,4k,1,4,1165.009878000,1.165009878,298261,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,4k,8,4,3492.882152000,3.492882152,894235,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,4k,32,4,4769.561181000,4.769561181,1221085,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,4k,128,4,4891.967749000,4.891967749,1252423,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,64k,1,4,5826.123136000,5.826123136,93217,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,64k,8,4,20200.0,20.2,323200,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,64k,32,4,29300.0,29.3,468800,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,64k,128,4,29500.0,29.5,472000,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,1m,1,4,23400.0,23.4,23400,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,1m,8,4,29500.0,29.5,29500,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,1m,32,4,29500.0,29.5,29500,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,1m,128,4,29400.0,29.4,29400,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,16m,1,4,29300.0,29.3,1831,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,16m,8,4,29400.0,29.4,1837,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,16m,32,4,29300.0,29.3,1831,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,16m,128,4,28700.0,28.7,1793,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,64m,1,4,29300.0,29.3,457,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,64m,8,4,29300.0,29.3,457,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,64m,32,4,28700.0,28.7,448,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,read,64m,128,4,26700.0,26.7,417,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,4k,1,4,805.306368000,.805306368,206171,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,4k,8,4,2805.687385000,2.805687385,718301,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,4k,32,4,2668.248431000,2.668248431,683115,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,4k,128,4,2652.142304000,2.652142304,678991,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,64k,1,4,9478.992821000,9.478992821,151663,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,64k,8,4,21200.0,21.2,339200,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,64k,32,4,22700.0,22.7,363200,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,64k,128,4,24600.0,24.6,393600,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,1m,1,4,20700.0,20.7,20700,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,1m,8,4,26600.0,26.6,26600,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,1m,32,4,27000.0,27.0,27000,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,1m,128,4,27000.0,27.0,27000,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,16m,1,4,24000.0,24.0,1500,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,16m,8,4,24100.0,24.1,1506,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,16m,32,4,23900.0,23.9,1493,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,16m,128,4,25100.0,25.1,1568,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,64m,1,4,21000.0,21.0,328,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,64m,8,4,24100.0,24.1,376,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,64m,32,4,24500.0,24.5,382,2x2_Parallel,Ext4
SKHynix_2x2_Parallel,write,64m,128,4,26200.0,26.2,409,2x2_Parallel,Ext4
WD_4Drive_Single,read,4k,1,6,593.779228000,.593779228,152017,4Drive_Single,Ext4
WD_4Drive_Single,read,4k,8,6,2401.960460000,2.401960460,614941,4Drive_Single,Ext4
WD_4Drive_Single,read,4k,32,6,3358.664425000,3.358664425,859873,4Drive_Single,Ext4
WD_4Drive_Single,read,4k,128,6,3981.434683000,3.981434683,1019312,4Drive_Single,Ext4
WD_4Drive_Single,read,64k,1,6,6105.296011000,6.105296011,97684,4Drive_Single,Ext4
WD_4Drive_Single,read,64k,8,6,18000.0,18.0,288000,4Drive_Single,Ext4
WD_4Drive_Single,read,64k,32,6,27400.0,27.4,438400,4Drive_Single,Ext4
WD_4Drive_Single,read,64k,128,6,28700.0,28.7,459200,4Drive_Single,Ext4
WD_4Drive_Single,read,1m,1,6,20100.0,20.1,20100,4Drive_Single,Ext4
WD_4Drive_Single,read,1m,8,6,29200.0,29.2,29200,4Drive_Single,Ext4
WD_4Drive_Single,read,1m,32,6,28200.0,28.2,28200,4Drive_Single,Ext4
WD_4Drive_Single,read,1m,128,6,29300.0,29.3,29300,4Drive_Single,Ext4
